year,state_abb,local police department,sheriffs office,other
1960,AK,2400.0,0.0,0.0
1960,AL,27850.0,4549.0,0.0
1960,AR,9241.0,3049.0,0.0
1960,AZ,32953.0,5449.0,0.0
1960,CA,410865.0,123944.0,0.0
1960,CO,29637.0,6645.0,0.0
1960,CT,27386.0,0.0,0.0
1960,DC,20749.0,0.0,0.0
1960,DE,7919.0,1029.0,0.0
1960,FL,95947.0,14542.0,0.0
1960,GA,40131.0,4903.0,0.0
1960,HI,14496.0,0.0,0.0
1960,IA,23897.0,5670.0,0.0
1960,ID,8138.0,2896.0,0.0
1960,IL,93407.0,12891.0,0.0
1960,IN,51721.0,13741.0,0.0
1960,KS,21261.0,6727.0,0.0
1960,KY,27640.0,4460.0,0.0
1960,LA,34254.0,6112.0,0.0
1960,MA,59569.0,1211.0,0.0
1960,MD,48467.0,1657.0,0.0
1960,ME,6610.0,1712.0,0.0
1960,MI,144391.0,21052.0,0.0
1960,MN,41654.0,5614.0,0.0
1960,MO,61599.0,15892.0,0.0
1960,MS,8226.0,1858.0,0.0
1960,MT,7706.0,5251.0,0.0
1960,NC,34482.0,9035.0,0.0
1960,ND,4073.0,1374.0,0.0
1960,NE,13425.0,3089.0,0.0
1960,NH,3405.0,762.0,0.0
1960,NJ,80601.0,108.0,0.0
1960,NM,15069.0,1927.0,0.0
1960,NV,8587.0,758.0,0.0
1960,NY,235834.0,6768.0,0.0
1960,OH,121512.0,18688.0,0.0
1960,OK,33410.0,7042.0,0.0
1960,OR,25340.0,7422.0,0.0
1960,PA,94752.0,1029.0,0.0
1960,RI,18022.0,134.0,0.0
1960,SC,18681.0,5780.0,0.0
1960,SD,5096.0,1796.0,0.0
1960,TN,30571.0,11652.0,0.0
1960,TX,164568.0,17614.0,0.0
1960,UT,15856.0,1684.0,0.0
1960,VA,48550.0,5106.0,0.0
1960,VT,1491.0,109.0,0.0
1960,WA,42944.0,17717.0,0.0
1960,WI,35071.0,7760.0,0.0
1960,WV,7759.0,0.0,0.0
1960,WY,4325.0,1367.0,0.0
1961,AK,2407.0,0.0,0.0
1961,AL,28471.0,4758.0,0.0
1961,AR,10372.0,3456.0,0.0
1961,AZ,37393.0,5771.0,0.0
1961,CA,422650.0,128273.0,0.0
1961,CO,34417.0,7920.0,0.0
1961,CT,29242.0,0.0,0.0
1961,DC,21602.0,0.0,0.0
1961,DE,8104.0,1054.0,0.0
1961,FL,96110.0,26168.0,0.0
1961,GA,44178.0,6401.0,0.0
1961,HI,16548.0,0.0,0.0
1961,IA,23399.0,5896.0,0.0
1961,ID,9235.0,3179.0,0.0
1961,IL,235078.0,15047.0,0.0
1961,IN,56400.0,15417.0,0.0
1961,KS,23751.0,7163.0,0.0
1961,KY,29138.0,4486.0,0.0
1961,LA,32555.0,6872.0,0.0
1961,MA,73354.0,1068.0,0.0
1961,MD,53232.0,2008.0,0.0
1961,ME,6500.0,2898.0,0.0
1961,MI,150770.0,22915.0,0.0
1961,MN,43424.0,5840.0,0.0
1961,MO,76557.0,10550.0,0.0
1961,MS,9581.0,1960.0,0.0
1961,MT,8065.0,5537.0,0.0
1961,NC,36840.0,9139.0,0.0
1961,ND,3911.0,1629.0,0.0
1961,NE,14114.0,3698.0,0.0
1961,NH,3676.0,1279.0,0.0
1961,NJ,90161.0,93.0,0.0
1961,NM,17258.0,2106.0,0.0
1961,NV,9187.0,590.0,0.0
1961,NY,244107.0,9021.0,0.0
1961,OH,117849.0,22383.0,0.0
1961,OK,34838.0,7061.0,0.0
1961,OR,26868.0,8485.0,0.0
1961,PA,99642.0,982.0,0.0
1961,RI,15394.0,230.0,0.0
1961,SC,20871.0,8918.0,0.0
1961,SD,5160.0,2058.0,0.0
1961,TN,31401.0,7899.0,0.0
1961,TX,175545.0,21290.0,0.0
1961,UT,16592.0,1923.0,0.0
